Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth
Bossley Park,2176,700000,2016,6
Botany,2019,861000,2016,6
Botany Bay,,861000,2016,6
Bouddi,2251,600000,2016,6
Bow Bowing,2566,545000,2016,6
Bowen Mountain,2753,635000,2016,6
Box Head,2257,600000,2016,6
Box Hill,2765,1089000,2016,6
Bradbury,2560,545000,2016,6
Brandy Hill,,449000,2016,6
Branxton,2335,316000,2016,6
Breakfast Point,2137,1006000,2016,6
Brighton-Le-Sands,2216,760000,2016,6
Bringelly,2556,695000,2016,6
Broadmeadow,2292,491000,2016,6
Brogers Creek,2535,688000,2016,6
Bronte,2024,1200000,2016,6
Brookvale,2100,1035000,2016,6
Broughton Village,,688000,2016,6
Brownsville,2530,595000,2016,6
Brunkerville,2323,417000,2016,6
Buchanan,2323,417000,2016,6
Bucketty,2250,635000,2016,6
Budderoo,,688000,2016,6
Budgewoi,2262,480000,2016,6
Budgewoi Peninsula,,480000,2016,6
Buff Point,,480000,2016,6
Bulli,2516,595000,2016,6
Bundeena,2230,900000,2016,6
Bungan Beach,,1391000,2016,6
Bungan Head,,1391000,2016,6
Bungarribee,,632000,2016,6
Burraneer,2230,900000,2016,6
Burwood,1814,878000,2016,6
Burwood Heights,2136,878000,2016,6
Busby,2168,695000,2016,6
Buttaba,2283,491000,2016,6
Buttai,2323,417000,2016,6
Cabarita,2137,1006000,2016,6
Cabramatta,2166,700000,2016,6
Cabramatta West,2166,700000,2016,6
Caddens,2747,589000,2016,6
Calga,2250,600000,2016,6
Callaghan,2308,491000,2016,6
Cambridge Gardens,2747,589000,2016,6
Cambridge Park,2747,589000,2016,6
Camellia,2142,720000,2016,6
Cameron Park,2285,491000,2016,6
Cammeray,,1050000,2016,6
Campbelltown,2560,545000,2016,6
Campsie,2194,700000,2016,6
Campvale,,449000,2016,6
Cams Wharf,2281,491000,2016,6
Canada Bay,2046,1006000,2016,6
Canley Heights,2166,700000,2016,6
Canley Vale,2166,700000,2016,6
Canterbury,2193,700000,2016,6
Canton Beach,,480000,2016,6
Cardiff Heights,2285,491000,2016,6
Cardiff South,2285,491000,2016,6
Careel Bay,,1391000,2016,6
Careel Head,,1391000,2016,6
Carey Bay,2283,491000,2016,6
Caringbah,2229,900000,2016,6
Caringbah South,2229,900000,2016,6
Carlingford,2118,720000,2016,6
Carnes Hill,2171,695000,2016,6
Carramar,2163,700000,2016,6
Carrington,2294,491000,2016,6
Carrington Falls,,688000,2016,6
Carss Park,2221,880000,2016,6
Cartwright,2168,695000,2016,6
Castle Cove,1858,1486000,2016,6
Castle Hill,2154,1089000,2016,6
Castlecrag,2068,1486000,2016,6
Castlereagh,2749,589000,2016,6
Casula,2170,695000,2016,6
Cataract Dam,2560,680000,2016,6
Catherine Field,2557,700000,2016,6
Cecil Hills,2171,695000,2016,6
Cedar Brush,,480000,2016,6
Centennial Park,2021,1100000,2016,6
Central Colo,2756,635000,2016,6
Central Macdonald,2775,635000,2016,6
Chain Valley Bay,,480000,2016,6
Charmhaven,2263,480000,2016,6
Chatham Valley,2787,578000,2016,6
Chatswood,1876,1486000,2016,6
Cheero Point,2083,600000,2016,6
Chifley,2036,1100000,2016,6
Chippendale,2008,930000,2016,6
Chipping Norton,2170,695000,2016,6
Chiswick,2046,1006000,2016,6
Chittaway Bay,,480000,2016,6
Chittaway Point,,480000,2016,6
Chullora,2190,820000,2016,6
Church Point,2105,1391000,2016,6
Claremont Meadows,2747,589000,2016,6
Clarence Town,2321,417000,2016,6
Clarendon,,635000,2016,6
Clareville,2107,1391000,2016,6
Clareville Beach,,1391000,2016,6
Claymore,2559,545000,2016,6
Clemton Park,2206,700000,2016,6
Cleveland,2530,595000,2016,6
Cliftleigh,2321,417000,2016,6
Clifton,2515,595000,2016,6
Clontarf,2093,1673000,2016,6
Clyde,2142,720000,2016,6
Coal Point,2283,491000,2016,6
Coalcliff,2508,595000,2016,6
Coasters Retreat,,1391000,2016,6
Cockatoo Island,,1324000,2016,6
Cogra Bay,2083,600000,2016,6
Colebee,2761,632000,2016,6
Coledale,2515,595000,2016,6
Collaroy,2097,1035000,2016,6
Collaroy Plateau,,1035000,2016,6
Colo,2756,635000,2016,6
Colo Heights,2756,635000,2016,6
Colongra,2262,480000,2016,6
Colyton,2760,589000,2016,6
Como,2226,900000,2016,6
Concord,2137,1006000,2016,6
Concord West,2138,1006000,2016,6
Condell Park,2200,820000,2016,6
Coniston,2500,595000,2016,6
Connells Point,2221,880000,2016,6
Constitution Hill,2145,720000,2016,6
Coogee,2034,1100000,2016,6
Cooks Hill,2300,491000,2016,6
Cooranbong,2265,471000,2016,6
Copacabana,2251,600000,2016,6
Cordeaux,2526,595000,2016,6
Cordeaux Heights,2526,595000,2016,6
Corlette,,449000,2016,6
Cornwallis,2756,635000,2016,6
Corrimal,2518,595000,2016,6
Corrimal East,2518,595000,2016,6
Cottage Point,,1035000,2016,6
Cranebrook,2749,589000,2016,6
Cremorne,,1050000,2016,6
Cremorne Point,,1050000,2016,6
Cringila,2502,595000,2016,6
Cromer,2099,1035000,2016,6
Cronulla,2230,900000,2016,6
Croudace Bay,2280,491000,2016,6
Crows Nest,2065,1050000,2016,6
Croydon Park,2133,700000,2016,6
Cumberland Reach,2756,635000,2016,6
Curl Curl,,1035000,2016,6
Curramore,2533,688000,2016,6
Currans Hill,2567,700000,2016,6
Currawong Beach,,1391000,2016,6
Daceyville,,861000,2016,6
Daleys Point,2257,600000,2016,6
Dangar,2309,491000,2016,6
Dapto,2530,595000,2016,6
Dargan,2786,578000,2016,6
Darkes Forest,2508,595000,2016,6
Darling Point,2027,1709000,2016,6
Darlinghurst,2010,930000,2016,6
Darlington,2008,930000,2016,6
Davidson,2085,1035000,2016,6
Davistown,2251,600000,2016,6
Dawes Point,2000,930000,2016,6
Dean Park,2761,632000,2016,6
Dee Why,2099,1035000,2016,6
Denistone,2114,1020000,2016,6
Denistone East,2112,1020000,2016,6
Denistone West,2114,1020000,2016,6
Dharruk,2770,632000,2016,6
Dobroyd Point,,825000,2016,6
Dolans Bay,2229,900000,2016,6
Dolls Point,2219,760000,2016,6
Dombarton,2526,595000,2016,6
Doonside,2767,632000,2016,6
Dooralong,2259,480000,2016,6
Double Bay,2028,1709000,2016,6
Douglas Park,2569,680000,2016,6
Dover Heights,2030,1200000,2016,6
Doyalson,2262,480000,2016,6
Drummoyne,2047,1006000,2016,6
Duckenfield,2321,417000,2016,6
Duckmaloi,2787,578000,2016,6
Dudley,2290,491000,2016,6
Duffys Forest,,1035000,2016,6
Dulwich Hill,,985000,2016,6
Dundas,2117,720000,2016,6
Dundas Valley,,720000,2016,6
Dural,2158,1089000,2016,6
Eagle Vale,2558,545000,2016,6
Eagleton,,449000,2016,6
Earlwood,2206,700000,2016,6
East Corrimal,2518,595000,2016,6
East Gordon,,1600000,2016,6
East Gosford,2250,600000,2016,6
East Hills,2213,820000,2016,6
East Killara,2071,1600000,2016,6
East Lindfield,2070,1600000,2016,6
East Maitland,2323,417000,2016,6
East Roseville,2069,1600000,2016,6
East Ryde,2113,1020000,2016,6
East Seaham,,449000,2016,6
East Willoughby,2068,1486000,2016,6
Eastern Creek,2766,632000,2016,6
Eastgardens,,861000,2016,6
Eastlakes,,861000,2016,6
Eastwood,2122,720000,2016,6
Ebenezer,2756,635000,2016,6
Edensor Park,2176,700000,2016,6
Edgecliff,2027,1709000,2016,6
Edgeworth,2285,491000,2016,6
Edith,2787,578000,2016,6
Edmondson Park,2174,695000,2016,6
Elanora Heights,,1391000,2016,6
Eleebana,2282,491000,2016,6
Elermore Vale,2287,491000,2016,6
Elizabeth Bay,2011,930000,2016,6
Ellalong,2325,316000,2016,6
Elvina Bay,,1391000,2016,6
Emerton,2770,632000,2016,6
Empire Bay,2257,600000,2016,6
Emu Heights,2750,589000,2016,6
Emu Plains,2750,589000,2016,6
Enfield,2136,878000,2016,6
Enfield South,2133,878000,2016,6
Engadine,2233,900000,2016,6
Englorie Park,2560,545000,2016,6
Enmore,2042,985000,2016,6
