stop_id,stop_name,stop_lat,stop_long,mode,state code
,Burwood Burwood Rd Path,-33.87718853,151.1038248,train,NSW
,Cabramatta Broomfield St Lift,-33.89464265,150.9391047,train,NSW
,Cabramatta Broomfield St Stairs,-33.89480632,150.9390481,train,NSW
,Cabramatta Railway Pde Lift,-33.89459892,150.9388134,train,NSW
,Cabramatta Railway Pde Ramp,-33.89494229,150.9387321,train,NSW
,Cabramatta Railway Pde Path,-33.89510227,150.9386596,train,NSW
,Camellia Grand Ave Ramp,-33.81918103,151.024141,train,NSW
,Campbelltown Railway St Ramp,-34.06418971,150.8148139,train,NSW
,Campbelltown Hurley St Lift,-34.06359144,150.8147393,train,NSW
,Campbelltown Hurley St Path,-34.06369952,150.8146228,train,NSW
,Campbelltown Hurley St Stairs,-34.06367954,150.8146141,train,NSW
,Campbelltown Farrow Rd Stairs,-34.06302424,150.8144097,train,NSW
,Campbelltown Hurley St Lift,-34.06320084,150.8143088,train,NSW
,Campbelltown Farrow Rd Stairs,-34.06332332,150.8140219,train,NSW
,Campsie Beamish St Ramp,-33.91049597,151.103574,train,NSW
,Campsie Beamish St Ramp,-33.91039285,151.1035577,train,NSW
,Canley Vale First Ave Stairs,-33.88744308,150.9436897,train,NSW
,Canley Vale First Ave Ramp,-33.88746282,150.9436297,train,NSW
,Canley Vale Railway Pde Stairs,-33.88723441,150.9434805,train,NSW
,Canley Vale Railway Pde Ramp,-33.88734662,150.9434198,train,NSW
,Canterbury Canterbury Rd Path,-33.9121163,151.1190137,train,NSW
,Capitol Square LR Hay St Path,-33.87970841,151.2055584,train,NSW
,Capitol Square LR Hay St Path,-33.87980415,151.205512,train,NSW
,Cardiff Main Rd Path,-32.9412794,151.6628198,train,NSW
,Cardiff Mary St Stairs,-32.94145731,151.6623011,train,NSW
,Cardiff Mary St Lift,-32.94140925,151.6622554,train,NSW
,Caringbah Kingsway  Lift,-34.04162513,151.1219142,train,NSW
,Caringbah Kingsway  Stairs,-34.04157881,151.121856,train,NSW
,Carlingford Lloyds Ave Path,-33.78217116,151.047273,train,NSW
,Carlingford James St Path,-33.7821273,151.0468442,train,NSW
,Carlingford Lloyds Ave Ramp,-33.78270924,151.046786,train,NSW
,Carlingford Lloyds Ave Path,-33.78287488,151.0466571,train,NSW
,Carlingford Pennant Hills Rd Path,-33.78304357,151.0463511,train,NSW
,Carlton Railway Pde Lift,-33.96842236,151.1245362,train,NSW
,Carlton Carlton Pde Lift,-33.96801021,151.1243905,train,NSW
,Carlton Railway Pde Stairs,-33.96846874,151.1243442,train,NSW
,Carlton Carlton Pde Stairs,-33.96809212,151.1242377,train,NSW
,Carlton Carlton Pde Ramp,-33.96798067,151.1241795,train,NSW
,Carramar Sandal Cres Path,-33.88476847,150.9607298,train,NSW
,Carramar Carramar Ave Path,-33.88431636,150.9605645,train,NSW
,Casula Casula Rd Stairs,-33.95004957,150.9121379,train,NSW
,Casula Casula Rd Lift,-33.95035283,150.9120798,train,NSW
,Casula Casula Rd Lift,-33.9501874,150.9117283,train,NSW
,Casula Casula Rd Path,-33.95036803,150.9117058,train,NSW
,Casula Casula Rd Stairs,-33.9503293,150.9116866,train,NSW
,Central Elizabeth St Ramp,-33.88352173,151.2079563,train,NSW
,Central Elizabeth St Lift,-33.88371032,151.2078995,train,NSW
,Central Elizabeth St Stairs,-33.88378577,151.207862,train,NSW
,Central Eddy Ave Stairs,-33.88302433,151.2070762,train,NSW
,Central Eddy Ave Escalators,-33.8832082,151.2070112,train,NSW
,Central Eddy Ave Lift,-33.88353624,151.2069711,train,NSW
,Central Eddy Ave Path,-33.88253976,151.2068849,train,NSW
,Central Chalmers St Lift,-33.88541283,151.2068475,train,NSW
,Central Chalmers St Escalators,-33.88544474,151.206822,train,NSW
,Central Chalmers St Stairs,-33.88547844,151.2067901,train,NSW
,Central Eddy Ave Path,-33.88233009,151.2065038,train,NSW
,Central Eddy Ave Stairs,-33.88210298,151.2061254,train,NSW
,Central Eddy Ave Escalators,-33.88213747,151.2060987,train,NSW
,Central Pitt St Path,-33.88236674,151.2058136,train,NSW
,Central Lee St Path,-33.88398512,151.2042663,train,NSW
,Chatswood Post Office Lane Stairs,-33.79722746,151.1814421,train,NSW
,Chatswood Post Office Lane Escalators,-33.79718558,151.1814287,train,NSW
,Chatswood Orchard Rd Stairs,-33.79677523,151.1813805,train,NSW
,Chatswood Orchard Rd Escalators,-33.79673649,151.1813641,train,NSW
,Chatswood Post Office Lane Lift,-33.79717607,151.1813031,train,NSW
,Chatswood Thomas St Lift,-33.79765173,151.1812637,train,NSW
,Chatswood Thomas St Stairs,-33.79766719,151.1811813,train,NSW
,Chatswood Orchard Rd Lift,-33.79673526,151.1811761,train,NSW
,Chatswood Railway St Lift,-33.79689881,151.1807121,train,NSW
,Chatswood Thomas Lane Lift,-33.7979301,151.1806933,train,NSW
,Chatswood Railway St Stairs,-33.79709534,151.1806738,train,NSW
,Chatswood Thomas St Stairs,-33.797903,151.180647,train,NSW
,Chatswood Railway St Escalators,-33.79705047,151.1805363,train,NSW
,Chatswood Railway St Stairs,-33.79701563,151.1805215,train,NSW
,Cheltenham Cheltenham Rd Stairs,-33.75539745,151.0781497,train,NSW
,Cheltenham Cheltenham Rd Lift,-33.75543909,151.0781092,train,NSW
,Chester Hil Chester Hill Rd Path,-33.88368818,151.0004627,train,NSW
,Circular Quay Alfred St Stairs,-33.86146378,151.2107945,train,NSW
,Circular Quay Alfred St Escalators,-33.86127776,151.2107739,train,NSW
,Circular Quay Alfred St Escalators,-33.86143954,151.2107457,train,NSW
,Circular Quay Alfred St Lift,-33.86124347,151.2107343,train,NSW
,Circular Quay Alfred St Lift,-33.86146637,151.2107121,train,NSW
,Circular Quay Alfred St Stairs,-33.86131441,151.2106592,train,NSW
,Circular Quay Alfred St Stairs,-33.86131245,151.2106239,train,NSW
,Circular Quay Alfred St Stairs,-33.86138049,151.2106156,train,NSW
,Circular Quay Alfred St Escalators,-33.86125995,151.2105656,train,NSW
,Circular Quay Alfred St Escalators,-33.86139905,151.2103289,train,NSW
,Clarendon Racecource Rd Ramp,-33.60844245,150.7878928,train,NSW
,Clarendon Racecource Rd Path,-33.60848854,150.787844,train,NSW
,Clarendon Racecource Rd Ramp,-33.60859421,150.7877637,train,NSW
,Clyde Berry St Ramp,-33.83554673,151.0170387,train,NSW
,Clyde Factory St Ramp,-33.83606198,151.0165639,train,NSW
,Coalcliff Lawrence Hargrave  Dr Stairs,-34.24253571,150.977052,train,NSW
,Cockle Creek Lake Rd Stairs,-32.94246711,151.6244306,train,NSW
,Cockle Creek Creek Reserve Rd Path,-32.94287548,151.6238126,train,NSW
,Coledale Cater St Stairs,-34.28989285,150.943031,train,NSW
,Como Railway Rd Stairs,-34.00454075,151.0683305,train,NSW
,Como Railway Rd Stairs,-34.00437623,151.068248,train,NSW
,Como Como Pde Ramp,-34.00447157,151.0676891,train,NSW
,Concord West Queen St Stairs,-33.84809272,151.0859526,train,NSW
,Concord West Queen St Lift,-33.84803171,151.0859019,train,NSW
,Concord West King St Stairs,-33.84821375,151.0852126,train,NSW
,Concord West King St Lift,-33.84808986,151.0851995,train,NSW
,Concord West King St Stairs,-33.84795404,151.0851904,train,NSW
,Coniston Bridge St Stairs,-34.43823905,150.8851205,train,NSW
,Coniston Gladsone Ave Ramp,-34.43796566,150.884845,train,NSW
,Convention Centre LR Darling Dr Ramp,-33.87286403,151.1981517,train,NSW
,Corrimal Duff Pde Path,-34.37549456,150.9051489,train,NSW
,Corrimal Railway St Path,-34.37567312,150.9048905,train,NSW
,Cowan Pacific Hwy Ramp,-33.59298034,151.171638,train,NSW
,Cowan Pacific Hwy Ramp,-33.5937893,151.1715651,train,NSW
,Cringila Central Rd Stairs,-34.46708061,150.8799583,train,NSW
,Cringila Five Island Rd Stairs,-34.46737362,150.8782723,train,NSW
,Cronulla Cronulla St Path,-34.05684046,151.1517217,train,NSW
,Cronulla Cronulla St Path,-34.05572731,151.1515991,train,NSW
,Cronulla Cronulla St Path,-34.05535773,151.1514348,train,NSW
,Croydon Hennessy St Ramp,-33.88283666,151.1155154,train,NSW
,Croydon Paisley Rd Stairs,-33.8831857,151.1150828,train,NSW
,Dapto Station St Path,-34.4923588,150.7922224,train,NSW
,Dapto Staiton St Path,-34.49307785,150.7918339,train,NSW
,Dapto Bong Bong Rd Path,-34.49348285,150.7914602,train,NSW
,Dapto Bong Bong Rd Path,-34.493435,150.7913065,train,NSW
,Denistone Gordon Cres Path,-33.79951928,151.0867539,train,NSW
,Domestic Keith Smith Ave Stairs,-33.93362671,151.1805736,train,NSW
,Domestic Keith Smith Ave Lift,-33.93356911,151.1805681,train,NSW
,Domestic Keith Smith Ave Stairs,-33.93400809,151.1801419,train,NSW
,Domestic Keith Smith Ave Escalators,-33.93400343,151.1801133,train,NSW
,Domestic Keith Smith Ave Lift,-33.93398698,151.1800496,train,NSW
,Doonside School Pde Ramp,-33.76401541,150.8692816,train,NSW
,Doonside Cross St Ramp,-33.76362795,150.8692347,train,NSW
,Dora Creek Main Rd Path,-33.0838231,151.5010419,train,NSW
,Dora Creek Newport Rd Stairs,-33.08411433,151.5008644,train,NSW
,Dora Creek Newport Rd Stairs,-33.08402158,151.500698,train,NSW
,Douglas Park Camden Rd Path,-34.18323382,150.7105466,train,NSW
,Douglas Park Camden Rd Path,-34.18330344,150.7105388,train,NSW
,Dulwich Grove LR New Canterbury Rd Stairs,-33.904761,151.1390021,train,NSW
,Dulwich Grove LR New Canterbury Rd Lift,-33.9047721,151.1389753,train,NSW
,Dulwich Hill LR Bedford Cres Stairs,-33.9106718,151.1405847,train,NSW
,Dulwich Hill LR Bedford Cres Lift,-33.9106266,151.1405558,train,NSW
,Dundas Station St Path,-33.80402698,151.0331103,train,NSW
,Dundas Kissing Point Rd Ramp,-33.80388354,151.0329178,train,NSW
,Dundas Kissing Point Rd Stairs,-33.80389499,151.0328954,train,NSW
,Dundas Kissing Point Rd Path,-33.80339752,151.032467,train,NSW
,Dungog Brown St Ramp,-32.40255754,151.759385,train,NSW
,Dungog Brown St Stairs,-32.40249309,151.759251,train,NSW
