stop_id,stop_name,stop_lat,stop_long,mode,state_code
30396,Church St/Pakington St (Geelong West),-38.1326,144.349752,bus,VIC
30397,Geelong West Oval/Church St (Geelong West),-38.131736,144.346224,bus,VIC
30398,Kendall Cl/Ballarat Rd (Hamlyn Heights),-38.130326,144.342043,bus,VIC
30399,Thompson Rd/Ballarat Rd (Hamlyn Heights),-38.127674,144.339903,bus,VIC
30400,Graham St/Ballarat Rd (Hamlyn Heights),-38.125586,144.338051,bus,VIC
30401,Lutheran Church/Ballarat Rd (Hamlyn Heights),-38.123567,144.336402,bus,VIC
30402,Calvert St/Ballarat Rd (Hamlyn Heights),-38.120143,144.33363,bus,VIC
30403,Ballarat Rd/Jasmine St (Bell Park),-38.118382,144.333067,bus,VIC
30404,Milton St/Jasmine St (Bell Park),-38.117727,144.334368,bus,VIC
30405,RSL Nelson Square Village/McClelland St (Bell Park),-38.116193,144.336271,bus,VIC
30406,Nelson Park School/McClelland St (Bell Park),-38.11309,144.336909,bus,VIC
30407,Separation St/McClelland St (Bell Park),-38.110506,144.337379,bus,VIC
30409,Hughes St/Separation St (Bell Park),-38.109747,144.334111,bus,VIC
30410,Anakie Rd/Separation St (Bell Park),-38.109535,144.332317,bus,VIC
30411,Gotemba Rd/Anakie Rd (Bell Post Hill),-38.108246,144.331919,bus,VIC
30412,Western Heights Sec Col/Anakie Rd (Bell Post Hill),-38.104658,144.332642,bus,VIC
30413,Wolseley Gr/Anakie Rd (Bell Post Hill),-38.101931,144.333175,bus,VIC
30414,Braund Ave/Anakie Rd (Bell Post Hill),-38.099078,144.333712,bus,VIC
30415,Eagleview Cres Sth/Braund Ave (Bell Post Hill),-38.098288,144.331038,bus,VIC
30416,Beauford Ave Sth/Braund Ave (Bell Post Hill),-38.098016,144.32862,bus,VIC
30417,Ward St Sth/Braund Ave (Bell Post Hill),-38.097762,144.326565,bus,VIC
30418,Rollins Rd Sth/Braund Ave (Bell Post Hill),-38.097439,144.32384,bus,VIC
30419,Liston St E/Rollins Rd (Bell Post Hill),-38.099614,144.323179,bus,VIC
30420,Fairy St E/Rollins Rd (Bell Post Hill),-38.103102,144.322471,bus,VIC
30421,Neil St/Rollins Rd (Bell Post Hill),-38.105554,144.322119,bus,VIC
30422,Fairy St/Rollins Rd (Bell Post Hill),-38.10335,144.322279,bus,VIC
30423,Liston St/Rollins Rd (Bell Post Hill),-38.099503,144.323058,bus,VIC
30424,Rollins Rd/Braund Ave (Bell Post Hill),-38.097275,144.324131,bus,VIC
30425,Ward St/Braund Ave (Bell Post Hill),-38.097516,144.326038,bus,VIC
30426,Beauford Ave/Braund Ave (Bell Post Hill),-38.097819,144.32865,bus,VIC
30427,Eagleview Cres/Braund Ave (Bell Post Hill),-38.09809,144.33108,bus,VIC
30428,Darriwill St/Anakie Rd (Bell Post Hill),-38.097285,144.334085,bus,VIC
30429,Newton Ave/Anakie Rd (Bell Post Hill),-38.095463,144.334413,bus,VIC
30431,Bell Post Shopping Centre/Anakie Rd (Norlane),-38.089389,144.335546,bus,VIC
30438,Cox Rd/Matthews Rd (Corio),-38.080482,144.33734,bus,VIC
30439,Goldsworthy Rd/Matthews Rd (Corio),-38.077638,144.337877,bus,VIC
30444,Purnell Rd/Cloverdale Dr (Corio),-38.071755,144.343903,bus,VIC
30445,Cathcart Ct/Cloverdale Dr (Corio),-38.069014,144.344606,bus,VIC
30446,Kingsley Dr/Cloverdale Dr (Corio),-38.068117,144.347967,bus,VIC
30447,Plantation Rd/Cloverdale Dr (Corio),-38.066239,144.348616,bus,VIC
30448,Plantation Rd/Princess Rd (Corio),-38.066696,144.349671,bus,VIC
30449,Norfolk Cres/Princess Rd (Corio),-38.070087,144.349024,bus,VIC
30450,Purnell Rd/Princess Rd (Corio),-38.071989,144.348647,bus,VIC
30451,Purnell Rd/Princess Rd (Corio),-38.071582,144.348605,bus,VIC
30452,Norfolk Cres/Princess Rd (Corio),-38.06994,144.348915,bus,VIC
30453,Plantation Rd/Princess Rd (Corio),-38.066693,144.349545,bus,VIC
30454,Grange Ct/Cloverdale Dr (Corio),-38.066852,144.348616,bus,VIC
30455,Kingsley Dr/Cloverdale Dr (Corio),-38.068457,144.347065,bus,VIC
30456,Landale Ct/Cloverdale Dr (Corio),-38.069714,144.344467,bus,VIC
30457,Purnell Rd/Cloverdale Dr (Corio),-38.072055,144.344017,bus,VIC
30461,Goldsworthy Rd/Mathews Rd (Corio),-38.077839,144.337983,bus,VIC
30462,Cox Rd/Mathews Rd (Corio),-38.08088,144.337406,bus,VIC
30463,Bell Post Shopping Centre/Anakie Rd (Norlane),-38.089007,144.335788,bus,VIC
30466,Rena St/Anakie Rd (Bell Park),-38.096561,144.334351,bus,VIC
30467,Braund Ave/Anakie Rd (Bell Post Hill),-38.099063,144.333849,bus,VIC
30468,Wolseley Gr/Anakie Rd (Bell Post Hill),-38.101809,144.333328,bus,VIC
