stop_id,stop_name,stop_lat,stop_lon,mode,state_code
306513,Enoggera Terrace - 11 ,-27.463881,153.028415,bus,VIC
306510,Enoggera Terrace - 11 ,-27.462033,153.026618,bus,VIC
,Cairns Street - 10 ,-27.46256,153.025751,bus,VIC
306471,Glenrosa Road - 10/11 ,-27.462473,153.025597,bus,VIC
306511,Glenrosa Road - 11 ,-27.463233,153.027985,bus,VIC
,Arthur Terrace - 12 ,-27.462755,153.027323,bus,VIC
306519,Arthur Terrace - 12 ,-27.465168,153.029863,bus,VIC
306473,Cochrane Street - 8 ,-27.460331,153.020511,bus,VIC
,Cochrane Street - 8 ,-27.459523,153.019015,bus,VIC
,Cochrane Street - 7B ,-27.461426,153.019575,bus,VIC
306509,Cochrane Street - 7B ,-27.462351,153.024115,bus,VIC
306472,Lower Cairns Terrace - 7A ,-27.46072,153.023158,bus,VIC
,Lower Cairns Terrace - 7A ,-27.465687,153.023538,bus,VIC
,Hayward Street - 7 ,-27.459499,153.019019,bus,VIC
307429,Hayward Street - 7 ,-27.46048,153.023523,bus,VIC
307430,Charlotte Street - 6A ,-27.459943,153.024836,bus,VIC
306538,Charlotte Street - 6A ,-27.456195,153.032226,bus,VIC
307132,Charlotte Street - 6 ,-27.457263,153.033586,bus,VIC
,Charlotte Street - 6 ,-27.457303,153.035103,bus,VIC
300065,Gallway St Meal Room ,-27.45723,153.035011,bus,VIC
306533,Petrie Terrace - 3A ,-27.457506,153.035362,bus,VIC
306534,"Normanby Fiveways"""""""" Petrie Terrace ",-27.457044,153.036084,bus,VIC
307133,Normanby Hotel - 4 ,-27.458718,153.035426,bus,VIC
,Normanby Hotel - 4 ,-27.458815,153.035336,bus,VIC
307130,St Brigid's - Red Hill - 5 ,-27.457063,153.033119,bus,VIC
307131,"Normanby Fiveways"""""""" Musgrave Road ",-27.456601,153.032534,bus,VIC
,Upper Clifton Terrace - 5A ,-27.460387,153.033191,bus,VIC
300066,Upper Clifton Terrace - 5A ,-27.459512,153.033969,bus,VIC
306539,Federal Street - 6 ,-27.460404,153.032984,bus,VIC
306542,Federal Street - 6 ,-27.460299,153.033278,bus,VIC
306540,Hammond Street - 7 ,-27.460488,153.033089,bus,VIC
306543,Hammond Street - 7 ,-27.461433,153.032171,bus,VIC
,Red Hill Shops - 8 ,-27.461597,153.032011,bus,VIC
,"Normanby"""""""" Kelvin Grove Rd ",-27.4623,153.031448,bus,VIC
306535,Cochrane Street - 9 ,-27.459064,153.032009,bus,VIC
306537,Normanby - 11 ,-27.460014,153.031751,bus,VIC
306536,Victoria Street - 12 ,-27.459415,153.031788,bus,VIC
306531,"Kelvin Grove"""""""" - 13 ",-27.45714,153.033874,bus,VIC
,School Street - 13 ,-27.456755,153.034261,bus,VIC
300067,Blamey Street - 23 ,-27.458513,153.031243,bus,VIC
306526,Countess Street Meal Room ,-27.459558,153.031559,bus,VIC
300000,BLAMEY / SCHOOL ,-27.455115,153.032403,bus,VIC
306499,QUT Musk Avenue ,-27.460562,153.027245,bus,VIC
306527,"Kelvin Grove"""""""" - 12 ",-27.45821,153.029887,bus,VIC
306494,"QUT Kelvin Grove"""""""" Station (IB) - Platform 1 ",-27.460442,153.027175,bus,VIC
306498,College Road - 3B ,-27.458408,153.029376,bus,VIC
306495,College Road - 3B ,-27.458932,153.028663,bus,VIC
306497,Petrie Terrace - 3B ,-27.454731,153.03297,bus,VIC
301589,"Normanby Fiveways"""""""" Countess Street ",-27.446439,153.042693,bus,VIC
,"QUT Kelvin Grove"""""""" Station (OB) - Platform 2 ",-27.449131,153.04268,bus,VIC
301562,"Herston Station"""""""" (OB) Platform 2 ",-27.451175,153.039955,bus,VIC
301563,"Herston Station"""""""" (IB) - Platform 1 ",-27.448094,153.042407,bus,VIC
301584,"Normanby"""""""" Station (OB) - Platform 2 ",-27.446403,153.04237,bus,VIC
301585,"Normanby"""""""" Station (IB) - Platform 1 ",-27.444459,153.043085,bus,VIC
301586,Royal Brisbane & Womens Hosp station Platform 2 ,-27.44332,153.043787,bus,VIC
,Royal Brisbane & Womens Hosp station Platform 1 ,-27.443348,153.038671,bus,VIC
,Red Hill - 8 ,-27.444228,153.039367,bus,VIC
,Milton - Suncorp - 3/4 ,-27.444234,153.038626,bus,VIC
301602,Milton - Suncorp - 4 ,-27.439241,153.040635,bus,VIC
301285,Red Hill - 8 ,-27.439843,153.039686,bus,VIC
302360,Heussler - 6 ,-27.419492,152.993695,bus,VIC
302367,Heussler -6 ,-27.419366,152.993716,bus,VIC
301604,Heussler/Suncorp - 5 ,-27.452554,153.035112,bus,VIC
301284,Heussler/Suncorp - 5 ,-27.452416,153.035058,bus,VIC
301603,Heussler/Park - 7 ,-27.446972,153.038018,bus,VIC
304301,Heussler/Park - 7 ,-27.474984,153.003263,bus,VIC
304295,Heussler/Fernberg - 8 ,-27.475246,153.003224,bus,VIC
304302,Heussler/Fernberg - 8 ,-27.473404,153.0048,bus,VIC
304303,"Milton"""""""" Rd - 7 ",-27.472072,153.00644,bus,VIC
,"Milton"""""""" Rd - 7 ",-27.471125,153.007921,bus,VIC
304304,Baroona Shops - 7 ,-27.469253,153.00987,bus,VIC
,Queen St Bus Station Southside Arrival Stop ,-27.469559,153.009868,bus,VIC
301785,Baroona - Haig - 8 ,-27.426833,153.027047,bus,VIC
301993,Baroona - Haig - 8 ,-27.426563,153.027354,bus,VIC
,Baroona Shops - 7 ,-27.427074,153.024813,bus,VIC
,Milton Rail Station - 5/6 ,-27.427003,153.024597,bus,VIC
301787,Milton Rail Station - 5/6 ,-27.427155,153.022621,bus,VIC
,MILTON / CRIBB ,-27.427059,153.022868,bus,VIC
301788,"Winrock Street"""""""" Winrock Street ",-27.426909,153.020851,bus,VIC
,Park Road - 6 ,-27.426819,153.021097,bus,VIC
,Park Road - 6 ,-27.426688,153.019467,bus,VIC
,Queen St Bus Station Northside Arrival Stop ,-27.4266,153.019722,bus,VIC
301819,Queen Street Bus Station - Platform A1 ,-27.426409,153.017592,bus,VIC
301988,Queen Street Bus Station - Platform A2 ,-27.426264,153.017302,bus,VIC
301994,Queen Street Bus Station - Platform A3 ,-27.426568,153.029051,bus,VIC
,Queen Street Bus Station - Platform A4 ,-27.426723,153.0297,bus,VIC
301995,"'Songbird Way"""""""" Lemke Road ",-27.426532,153.030607,bus,VIC
,Queen Street Bus Station - Platform A5 ,-27.427749,153.018913,bus,VIC
301818,Queen Street Bus Station - Platform A6 ,-27.427618,153.018793,bus,VIC
,Queen Street Bus Station - Platform A7 ,-27.431816,153.019473,bus,VIC
301814,Queen Street Bus Station - Platform A8 ,-27.434956,153.022431,bus,VIC
301794,Queen Street Bus Station - Platform A9 ,-27.435068,153.022797,bus,VIC
301815,Queen Street Bus Station - Platform A10 ,-27.433888,153.021057,bus,VIC
301793,Queen Street Bus Station - Platform C2 ,-27.433753,153.021098,bus,VIC
301816,Queen Street Bus Station - Platform C1 ,-27.43268,153.019904,bus,VIC
